cell_id,lat,lon,elevation_ft,slope_deg,aspect_deg,aspect_cardinal,elevation_band,avy_slope,north_facing,terrain_risk_score,composite_risk_score,geopoint,geoshape
MBR-000001,41.686204,-106.578148,7869.0,37.3,236.0,SW,below_treeline,True,False,2,2,"41.686204,-106.578148","{""type"": ""Polygon"", ""coordinates"": [[[-106.5825925928807, 41.682870370468066], [-106.57370370398226, 41.682870370468066], [-106.57370370398226, 41.6895370371419], [-106.5825925928807, 41.6895370371419], [-106.5825925928807, 41.682870370468066]]]}"
MBR-000002,41.686204,-106.569167,7858.0,27.6,195.0,S,below_treeline,False,False,2,2,"41.686204,-106.569167","{""type"": ""Polygon"", ""coordinates"": [[[-106.57361111138955, 41.682870370468066], [-106.56472222249111, 41.682870370468066], [-106.56472222249111, 41.6895370371419], [-106.57361111138955, 41.6895370371419], [-106.57361111138955, 41.682870370468066]]]}"
MBR-000003,41.686204,-106.560185,7805.0,30.7,196.0,S,below_treeline,True,False,2,2,"41.686204,-106.560185","{""type"": ""Polygon"", ""coordinates"": [[[-106.56462962989842, 41.682870370468066], [-106.55574074099998, 41.682870370468066], [-106.55574074099998, 41.6895370371419], [-106.56462962989842, 41.6895370371419], [-106.56462962989842, 41.682870370468066]]]}"
MBR-000004,41.686204,-106.551204,7927.0,56.1,236.0,SW,below_treeline,False,False,3,3,"41.686204,-106.551204","{""type"": ""Polygon"", ""coordinates"": [[[-106.55564814840727, 41.682870370468066], [-106.54675925950883, 41.682870370468066], [-106.54675925950883, 41.6895370371419], [-106.55564814840727, 41.6895370371419], [-106.55564814840727, 41.682870370468066]]]}"
MBR-000005,41.686204,-106.542222,8083.0,48.9,187.0,S,below_treeline,False,False,3,3,"41.686204,-106.542222","{""type"": ""Polygon"", ""coordinates"": [[[-106.54666666691612, 41.682870370468066], [-106.53777777801768, 41.682870370468066], [-106.53777777801768, 41.6895370371419], [-106.54666666691612, 41.6895370371419], [-106.54666666691612, 41.682870370468066]]]}"
MBR-000006,41.686204,-106.533241,7877.0,52.0,104.0,E,below_treeline,False,False,3,3,"41.686204,-106.533241","{""type"": ""Polygon"", ""coordinates"": [[[-106.53768518542499, 41.682870370468066], [-106.52879629652655, 41.682870370468066], [-106.52879629652655, 41.6895370371419], [-106.53768518542499, 41.6895370371419], [-106.53768518542499, 41.682870370468066]]]}"
MBR-000007,41.679444,-106.578148,7815.0,37.3,172.0,S,below_treeline,True,False,2,2,"41.679444,-106.578148","{""type"": ""Polygon"", ""coordinates"": [[[-106.5825925928807, 41.676111111201536], [-106.57370370398226, 41.676111111201536], [-106.57370370398226, 41.68277777787537], [-106.5825925928807, 41.68277777787537], [-106.5825925928807, 41.676111111201536]]]}"
MBR-000008,41.679444,-106.569167,7869.0,27.2,271.0,W,below_treeline,False,False,2,2,"41.679444,-106.569167","{""type"": ""Polygon"", ""coordinates"": [[[-106.57361111138955, 41.676111111201536], [-106.56472222249111, 41.676111111201536], [-106.56472222249111, 41.68277777787537], [-106.57361111138955, 41.68277777787537], [-106.57361111138955, 41.676111111201536]]]}"
MBR-000009,41.679444,-106.560185,8083.0,54.2,241.0,SW,below_treeline,False,False,3,3,"41.679444,-106.560185","{""type"": ""Polygon"", ""coordinates"": [[[-106.56462962989842, 41.676111111201536], [-106.55574074099998, 41.676111111201536], [-106.55574074099998, 41.68277777787537], [-106.56462962989842, 41.68277777787537], [-106.56462962989842, 41.676111111201536]]]}"
MBR-000010,41.679444,-106.551204,8304.0,44.4,240.0,SW,below_treeline,True,False,2,2,"41.679444,-106.551204","{""type"": ""Polygon"", ""coordinates"": [[[-106.55564814840727, 41.676111111201536], [-106.54675925950883, 41.676111111201536], [-106.54675925950883, 41.68277777787537], [-106.55564814840727, 41.68277777787537], [-106.55564814840727, 41.676111111201536]]]}"
MBR-000011,41.679444,-106.542222,8540.0,33.9,229.0,SW,below_treeline,True,False,2,2,"41.679444,-106.542222","{""type"": ""Polygon"", ""coordinates"": [[[-106.54666666691612, 41.676111111201536], [-106.53777777801768, 41.676111111201536], [-106.53777777801768, 41.68277777787537], [-106.54666666691612, 41.68277777787537], [-106.54666666691612, 41.676111111201536]]]}"
